Geo Point;Geo Shape;gml_id;GID;GEOM_O;ADRESSE;TYPE;HANDI;CDATE;MDATE
44.851361135190515, -0.6151943970828603;"{""coordinates"": [-0.61519439708286, 44.851361135190515], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5907;5907;0;Rue Fernand Cazère;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.82226471764045, -0.5550671294064767;"{""coordinates"": [-0.555067129406477, 44.82226471764045], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5963;5963;0;square pont du gui;SANITAIRE_AUTOMATIQUE;OUI;2020-09-10T15:20:45+02:00;2023-01-20T14:21:06+01:00
44.83041664973749, -0.5668333008473178;"{""coordinates"": [-0.566833300847318, 44.83041664973749], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5913;5913;0;Place des Capucins;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.85202775240711, -0.5743055786592742;"{""coordinates"": [-0.574305578659274, 44.85202775240711], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5916;5916;0;Place Paul Doumer;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.84438890296084, -0.5739444318000612;"{""coordinates"": [-0.573944431800061, 44.84438890296084], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5919;5919;0;Pole d'echange Quinconces;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.835111116246715, -0.5746388460294989;"{""coordinates"": [-0.574638846029499, 44.835111116246715], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5920;5920;0;Cours Victor Hugo face au 160;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.84700002034203, -0.5748611219313611;"{""coordinates"": [-0.574861121931361, 44.84700002034203], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5921;5921;0;Allées de Chartres;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.84919442518163, -0.5456389241372208;"{""coordinates"": [-0.545638924137221, 44.84919442518163], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5929;5929;0;Avenue Thiers angle Gustave Eiffel;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.833555593777476, -0.5614722361603127;"{""coordinates"": [-0.561472236160313, 44.833555593777476], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5935;5935;0;Quai de la Grave (coté des sports);SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.852444491108876, -0.567444400123054;"{""coordinates"": [-0.567444400123054, 44.852444491108876], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5942;5942;0;Quai des chartrons (jardin d'enfants);SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.84669442745042, -0.5705833877143018;"{""coordinates"": [-0.570583387714302, 44.84669442745042], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5943;5943;0;Quai louis XVIII;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.83744446179793, -0.5765833028212091;"{""coordinates"": [-0.576583302821209, 44.83744446179793], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5947;5947;0;Place Pey Berland;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.834944405076065, -0.5803888955023014;"{""coordinates"": [-0.580388895502301, 44.834944405076065], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5951;5951;0;Place de la République;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.83302778097228, -0.6109721838874407;"{""coordinates"": [-0.610972183887441, 44.83302778097228], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5955;5955;0;Rue de Cantenac;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.853722244871875, -0.5388333883053169;"{""coordinates"": [-0.538833388305317, 44.853722244871875], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5990;5990;0;Pont Saint Emilion;URINOIR;NON;2023-01-20T17:20:22+01:00;2023-01-20T17:20:22+01:00
